,desc,desc,desc,desc,desc,MH,MH,MH,MH,MH,MH,MH,EQ,EQ,EQ,EQ,EQ,EQ,EQ,FU,FU,FU,FU,FU,FU,FU,PU,PU,PU,PU,PU,PU,PU,CF,CF,CF,CF,CF,CF,CF,Cyc,Cyc,Cyc,Cyc,Cyc,Cyc,Cyc
,full_name,wbinc,GDP,length,infra_value,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100,perc_0,perc_20,perc_40,perc_50,perc_60,perc_80,perc_100
BGD,Bangladesh,LMC,250000000000.0,124920.92378022277,147717780749.13226,26206735.6786554,51559933.70540378,76356735.26879583,90420407.90611978,113771310.30839925,195585357.90500313,344271207.56756645,9566540.117991935,22129194.96288767,36300280.86183871,42403339.15636909,52475881.81395633,94970357.44652511,164255697.48650822,5802969.297077266,12123773.09289528,17564038.836091056,21553126.3118991,28328975.746523727,49993556.636785746,92397506.95711187,7491154.228708145,10291052.418874945,12816315.592506664,14735083.071302151,17797766.89782593,26205600.710980687,41828116.35348209,3340610.11440942,6997315.644178605,9653963.53752766,11691433.221154964,15129945.474421294,24360152.289450772,45731417.446348675,5461.92046863663,18597.586567282164,22136.440831739623,37426.1453944944,38740.3756719732,55690.82126083851,58469.32411560767
BGR,Bulgaria,UMC,57418414504.0,119621.41343008907,413453609287.5255,4823845.100750433,7507381.452067128,15525510.848076403,21660588.753004417,26941620.014932387,36250300.77264481,59388445.35844278,786562.5924362768,1220779.18600048,2234691.1454682257,2749249.0971508054,2990796.965400033,4646528.983843939,9511136.556846434,1490426.946861495,2350934.9888928127,4914944.389049303,6940644.05856621,8794542.912661375,11531315.38354308,18338328.88690304,2515074.539786057,3889798.751173203,8280887.56853998,11836398.442716477,14993608.401344327,19869147.562554177,31255020.973609157,31781.021666605255,45868.52600063301,94987.74501889564,134297.15457092208,162671.73552665146,203308.84270361793,283958.94108415226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,Bahrain,HIC,35307127660.0,5506.239223678804,3538758255.0305147,19167.429925551747,41022.78402395411,76456.99211300764,94067.9979556403,121213.05245454324,187066.6170930555,309866.04786944436,0.0,0.0,0.0,0.0,0.0,2317.3890634320837,4941.825433804104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2535.379043014872,5388.165454963734,10072.010123658889,12608.590842604968,16313.010762039903,24643.48912575231,40720.78018908588,16632.050882536874,35634.61856899038,66384.98198934876,81459.40711303533,104900.04169250334,160105.73890387113,264203.44224655436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHS,Bahamas,HIC,12162100000.0,6117.249755543393,4092053483.1056156,159713.7206672049,262197.240217959,513791.5259826875,754450.2297417226,944066.1567341862,1241939.8882886043,1963901.0720380333,0.0,0.0,0.0,0.0,0.0,11.886863959099344,23.56282416485729,1509.1563611939564,2112.8189056715387,4303.890363404987,6316.098844996927,7545.781805969784,9222.622207296401,12576.303009949639,19001.607217048495,32387.667439816578,63244.293189568416,87149.270342402,108742.8763623666,147466.27683983222,225122.1861957765,137063.1130006172,219859.24882359107,437683.966076333,646141.5185320945,812798.589947433,1057214.547473275,1601536.0398442922,2139.844088345274,7837.505048879804,8559.376353381096,14843.34202222908,14978.908618416921,28024.554904241617,124642.98016385018
BIH,Bosnia and Herzegovina,UMC,19112739664.0,49362.814949640175,143610252802.69897,2928163.459910688,4659386.95656205,9296047.349526279,12672605.172771554,15571973.150764972,20622561.38141741,33767625.99629216,805578.6733205499,1274314.2847019876,2176284.0985674323,2641072.763740146,2892507.873486873,4370021.630856742,7789676.385390461,1030349.5964426658,1712781.970879079,3548369.3753281664,4942444.8216466,6242168.385269253,8052259.640768329,13090337.101027409,1092235.190147472,1672290.7009809825,3571393.8756306814,5089087.587384808,6437296.892008847,8200280.109792335,12887612.509874286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,Belarus,UMC,78813839984.0,198858.30652429754,1288233179631.0715,1564218.8172316323,2279523.9797001556,4824398.951175859,6861537.4446252175,8477272.545991212,10660004.341987822,15925833.302583648,0.0,0.0,0.0,0.0,0.0,4.309672701125996,808.8884112868501,780880.3515902894,1129698.2450163697,2386451.2661818666,3420545.3021071125,4235751.54686228,5380142.63837847,8173693.44457553,783338.4656413428,1149825.7346837858,2437947.684993992,3440992.1425181055,4241520.999128932,5279857.393936652,7751330.969596831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLZ,Belize,UMC,1838000000.0,7361.730278423189,2348776064.06468,1709056.0576823147,2805170.713604189,4053094.873025682,4684879.959095496,5766739.96605923,8741382.66408839,14558316.331723457,527631.5707659364,1100725.8733650956,1665444.252927941,1964106.431014112,2477386.238380158,3901827.273202705,6385486.232817721,297167.2312064929,450945.6241720234,678797.6688524176,803902.872256859,1028851.3936536618,1533555.666719106,2674008.333862636,790593.2705478071,1126241.713544303,1559345.535330201,1724527.5692034422,2045065.33414933,3026950.2087019426,5130384.88216252,83860.10266872487,92738.89890484317,110291.88594170922,124484.45588047022,146809.8224226075,181010.69053110524,270398.0579470496,9803.882493353192,34518.603617923894,39215.52997341277,67858.630740612,68627.17745347234,98038.82493353193,98038.82493353193
BMU,Bermuda,HIC,6109928000.0,1224.0639543467257,980659980.7797834,3.567153527443409,14.268614109773637,14.268614109773633,24.97007469210387,24.97007469210387,8277.517822424437,21185.36725792586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.567153527443409,14.268614109773637,14.268614109773633,24.97007469210387,24.97007469210387,8277.517822424437,21185.36725792586
BOL,Bolivia,LMC,37508642113.0,201923.642803692,352373633560.77966,80655956.6700803,108126748.06409886,143637236.1488738,157473153.76171455,185421517.4342574,270327561.41909003,443832848.5509498,1797089.1448755912,3639986.185630526,5747288.780854127,6689333.79512128,8711012.625071183,13883276.80943033,23395959.825519513,25663823.237638522,38029621.23882365,54238124.111745335,60560779.32820583,73259816.70201999,111251725.70422743,189384830.20652717,53195044.28756619,66457140.63964468,83651823.25627436,90223040.63838744,103450688.10716623,145192558.90543225,231052058.51890317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,Brazil,UMC,2620000000000.0,2394133.6669344734,2993551255599.653,172346889.95814893,251270426.27334183,355175084.3793542,395659968.39049006,476509896.5044701,732821285.688467,1274186495.4904459,66053.49026108268,134704.25155274448,231896.49021180937,266450.5353134126,356016.9163865828,636815.4906003675,1203319.6442960296,53454970.143820815,85130733.5402931,127627622.35973148,144302446.84924537,177115655.04359758,282067459.4231007,507707132.562695,118248773.03104922,165124231.44773704,226023458.1922477,249627768.51498556,297238683.9499769,447351840.40467495,760537317.13078,577093.2930178023,880757.0337589433,1292107.3371632178,1463302.49094569,1799540.594509026,2765170.370090943,4738726.152674957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
